FS125,FS115,FS121,FS120,FS114,Tons,Waste,MGO,HGO,VLGO,LGO,G1,Top Soil,LLG,DumpingTime
0,1,0,0,0,0.21311475409836064,0,1,0,0,0,0,0,0,0.000730887297178775
0,0,1,0,0,0.31864754098360654,1,0,0,0,0,0,0,0,0.004458412512790528
0,1,0,0,0,0.20184426229508196,0,1,0,0,0,0,0,0,0.00409296886420114
0,0,1,0,0,0.2069672131147541,1,0,0,0,0,0,0,0,0.01257126151147493
1,0,0,0,0,0.27561475409836067,1,0,0,0,0,0,0,0,0.0002192661891536325
0,0,1,0,0,0.2459016393442623,1,0,0,0,0,0,0,0,0.006651074404326853
1,0,0,0,0,0.28688524590163933,1,0,0,0,0,0,0,0,0.019003069726648152
0,0,1,0,0,0.30635245901639346,1,0,0,0,0,0,0,0,0.03859084929103932
0,1,0,0,0,0.21413934426229508,0,1,0,0,0,0,0,0,0.009720801052477707
1,0,0,0,0,0.3206967213114754,1,0,0,0,0,0,0,0,0.006577985674608975
0,1,0,0,0,0.18237704918032788,0,1,0,0,0,0,0,0,0.005920187107148078
0,1,0,0,0,0.17930327868852458,0,1,0,0,0,0,0,0,0.00058470983774302
1,0,0,0,0,0.305327868852459,1,0,0,0,0,0,0,0,0.0000730887297178775
0,1,0,0,0,0.19364754098360656,0,1,0,0,0,0,0,0,0.00935535740388832
0,1,0,0,0,0.19467213114754098,0,1,0,0,0,0,0,0,0.022949861131413535
0,1,0,0,0,0.22950819672131148,0,1,0,0,0,0,0,0,0.004458412512790528
0,1,0,0,0,0.21209016393442623,0,1,0,0,0,0,0,0,0.005920187107148078
0,0,1,0,0,0.30225409836065575,1,0,0,0,0,0,0,0,0.31340447303025876
1,0,0,0,0,0.3360655737704918,1,0,0,0,0,0,0,0,0.12271597719631633
0,0,0,0,1,0.19467213114754098,0,1,0,0,0,0,0,0,0.030916532670662186
1,0,0,0,0,0.28688524590163933,1,0,0,0,0,0,0,0,0.026531208887589534
0,1,0,0,0,0.319672131147541,1,0,0,0,0,0,0,0,0.004531501242508405
0,0,0,0,1,0.17930327868852458,0,1,0,0,0,0,0,0,0.12863616430346442
1,0,0,0,0,0.3084016393442623,1,0,0,0,0,0,0,0,0.08149393363543342
0,0,0,0,1,0.17930327868852458,0,1,0,0,0,0,0,0,0.01549481070019003
0,0,0,0,1,0.22950819672131148,0,1,0,0,0,0,0,0,0.044364858938751646
0,0,0,0,1,0.41700819672131145,0,1,0,0,0,0,0,0,0.01578716561906154
0,0,0,0,1,0.13524590163934427,0,1,0,0,0,0,0,0,0.027408273644204065
0,0,0,1,0,0.17930327868852458,1,0,0,0,0,0,0,0,0.006943429323198363
0,0,0,1,0,0.2766393442622951,1,0,0,0,0,0,0,0,0.004531501242508405
1,0,0,0,0,0.30327868852459017,1,0,0,0,0,0,0,0,0.0721385762315451
1,0,0,0,0,0.29918032786885246,1,0,0,0,0,0,0,0,0.00058470983774302
0,0,0,0,1,0.2038934426229508,0,1,0,0,0,0,0,0,0.000730887297178775
1,0,0,0,0,0.28688524590163933,1,0,0,0,0,0,0,0,0.018564537348340886
0,1,0,0,0,0.17930327868852458,0,1,0,0,0,0,0,0,0.009866978511913463
0,0,0,0,1,0.22131147540983606,0,1,0,0,0,0,0,0,0.008112848998684403
1,0,0,0,0,0.28688524590163933,1,0,0,0,0,0,0,0,0.1370413682210203
0,0,0,0,1,0.17930327868852458,0,1,0,0,0,0,0,0,0.006651074404326853
0,0,0,0,1,0.22028688524590165,0,1,0,0,0,0,0,0,0.0022657506212542026
1,0,0,0,0,0.3104508196721312,1,0,0,0,0,0,0,0,0.00146177459435755
1,0,0,0,0,0.28688524590163933,1,0,0,0,0,0,0,0,0.007235784242069873
0,0,0,0,1,0.1885245901639344,0,1,0,0,0,0,0,0,0.00555474345855869
0,0,0,0,1,0.17930327868852458,0,1,0,0,0,0,0,0,0.024777079374360474
0,1,0,0,0,0.19057377049180327,1,0,0,0,0,0,0,0,0.00730887297178775
1,0,0,0,0,0.21311475409836064,1,0,0,0,0,0,0,0,0.14405788627393656
0,1,0,0,0,0.15471311475409835,1,0,0,0,0,0,0,0,0.031501242508405206
1,0,0,0,0,0.2899590163934426,1,0,0,0,0,0,0,0,0.045022657506212545
1,0,0,0,0,0.28688524590163933,1,0,0,0,0,0,0,0,0.047507674316620375
1,0,0,0,0,0.33401639344262296,1,0,0,0,0,0,0,0,0.00116941967548604
1,0,0,0,0,0.24077868852459017,1,0,0,0,0,0,0,0,0.005408565999122935
0,0,0,0,1,0.21618852459016394,0,1,0,0,0,0,0,0,0.006285630755737465
0,0,0,0,1,0.25614754098360654,0,1,0,0,0,0,0,0,0.01871071480777664
1,0,0,0,0,0.31864754098360654,1,0,0,0,0,0,0,0,0.000146177459435755
0,0,0,0,1,0.21618852459016394,0,1,0,0,0,0,0,0,0.013082882619500073
0,0,1,0,0,0.25922131147540983,1,0,0,0,0,0,0,0,0.0029235491887151
1,0,0,0,0,0.3165983606557377,1,0,0,0,0,0,0,0,0.0006577985674608975
1,0,0,0,0,0.04815573770491803,1,0,0,0,0,0,0,0,0.003946791404765385
